row_id,player_id,age,position,team,opponent,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pct,ft_pct,plus_minus,efficiency,game_location,rest_days,target
149,1489,21,C,MEM,WAS,17.9,4,5,1,1,0,1,61.2,32.8,73.2,-3,10,Home,1,0
150,1230,27,SG,MIN,TOR,16.9,9,5,0,1,1,2,40.8,32.3,82.0,0,14,Home,1,0
151,1040,26,SF,ORL,CHI,29.4,10,7,2,0,0,3,53.1,35.0,75.0,-18,16,Away,1,0
152,1027,29,C,DAL,GSW,14.6,6,6,2,1,1,2,46.9,36.8,81.4,5,14,Away,1,0
153,1134,30,SG,NYK,POR,21.3,22,3,2,1,1,0,46.7,45.5,79.9,-10,29,Home,2,1
154,1200,26,C,CHI,NYK,30.9,13,9,1,1,2,3,49.6,23.2,84.7,5,23,Away,1,1
155,1327,30,PG,DEN,ATL,34.4,13,1,4,1,0,2,43.3,29.3,72.9,2,17,Away,2,0
156,1267,25,PG,POR,TOR,35.4,13,4,9,1,0,4,41.8,23.0,88.7,-19,23,Home,1,0
157,1417,26,C,PHI,SAS,12.3,8,2,0,0,1,0,45.0,27.4,72.5,6,11,Home,1,0
158,1032,26,PG,GSW,DEN,36.8,16,2,6,2,1,4,48.2,50.2,75.1,5,23,Home,1,1
159,1047,32,C,WAS,NYK,31.5,18,11,2,1,1,4,50.4,33.9,75.8,0,29,Away,2,0
160,1406,22,C,ATL,PHX,13.9,6,6,0,2,0,0,60.6,36.1,84.3,-5,14,Away,1,0
161,1061,27,PG,HOU,CHA,33.4,21,3,9,1,0,3,46.1,38.4,83.6,20,31,Home,1,1
162,1215,24,SF,WAS,PHI,13.2,4,4,1,2,1,1,43.8,40.6,67.8,-5,11,Home,1,0
163,1292,26,PG,BKN,MIN,32.4,19,3,5,1,1,5,43.8,34.6,72.5,11,24,Away,2,1
164,1098,25,SF,SAS,ATL,21.5,8,3,0,1,1,2,44.9,37.2,95.0,-4,11,Away,2,0
165,1171,27,PG,OKC,BOS,38.1,28,4,10,1,0,2,45.9,42.1,86.4,1,41,Away,1,1
166,1359,31,SG,BKN,ORL,17.9,12,2,0,0,0,1,48.7,46.2,79.9,4,13,Home,1,0
167,1213,33,SG,MEM,TOR,24.4,13,5,2,0,1,3,61.6,40.3,72.4,6,18,Home,1,0
168,1474,29,SF,MIL,LAL,34.0,17,1,4,2,0,1,46.2,35.9,83.0,-10,23,Away,1,1
169,1034,23,C,MIN,SAS,28.7,10,7,2,1,0,2,40.2,22.9,67.8,7,18,Away,4,1
170,1448,26,PF,DEN,PHI,22.6,12,6,0,2,2,0,56.5,31.0,83.0,-12,22,Away,1,1
171,1226,27,PF,PHI,BOS,40.3,21,10,2,1,1,2,50.3,36.3,83.2,-10,33,Away,1,1
172,1100,25,SF,LAC,ATL,13.8,9,4,0,0,1,1,37.1,34.2,84.4,-1,13,Home,1,0
173,1430,26,C,GSW,SAC,30.8,12,8,0,1,1,2,49.7,22.8,94.1,-5,20,Home,2,0
174,1461,26,SG,BKN,LAL,23.4,16,2,1,0,0,1,47.9,41.3,81.2,-5,18,Home,3,0
175,1130,29,PF,NYK,PHX,28.1,15,10,3,0,1,0,52.1,32.7,72.4,2,29,Home,0,1
176,1256,28,C,LAL,DEN,36.0,21,13,2,1,1,1,63.2,24.8,63.1,0,37,Home,2,1
177,1004,25,SG,LAC,PHI,20.7,12,4,3,1,1,3,47.0,21.7,91.8,-13,18,Away,1,0
178,1217,28,PF,BKN,WAS,34.0,19,8,1,0,1,4,45.3,33.3,74.5,7,25,Home,3,0
179,1254,32,C,LAC,DET,16.2,5,6,0,1,1,1,49.1,27.2,75.9,16,12,Home,1,0
180,1397,22,C,NYK,POR,38.6,19,12,4,0,1,3,46.3,47.6,61.9,7,33,Home,0,1
181,1358,25,PF,PHX,NYK,27.9,16,8,3,1,0,2,39.2,42.6,73.9,8,26,Away,2,1
182,1282,25,SG,POR,OKC,32.1,18,6,4,2,0,2,51.2,29.2,73.9,-5,28,Away,2,1
183,1392,27,SG,PHI,BOS,28.6,12,6,1,1,1,1,33.9,45.4,92.4,2,20,Home,3,1
184,1206,21,PG,DET,MIN,19.9,14,0,2,0,0,1,38.6,38.7,78.7,-2,15,Home,1,0
185,1014,31,PF,WAS,CLE,23.8,10,7,3,1,1,1,38.9,40.3,77.5,4,21,Home,1,0
186,1345,27,PG,POR,BKN,37.3,25,3,8,1,1,2,46.5,57.0,75.7,-6,36,Home,1,1
187,1041,27,C,MIA,TOR,18.8,8,7,3,0,0,1,44.9,26.4,84.7,4,17,Away,2,0
188,1379,27,PG,PHI,NYK,35.9,21,4,11,2,0,3,52.0,34.9,62.7,11,35,Home,1,1
189,1460,25,PG,PHI,MIL,40.6,18,3,7,1,1,4,53.6,31.4,76.2,-6,26,Home,2,1
190,1178,29,SF,DEN,CLE,19.8,9,4,0,0,2,1,39.0,42.1,78.8,1,14,Home,0,0
191,1062,27,PF,IND,DEN,27.6,16,6,1,1,1,2,39.7,38.7,82.3,-10,23,Home,0,0
192,1351,20,PG,SAC,LAL,35.9,20,5,6,1,0,1,37.9,50.4,79.5,-3,31,Away,2,1
193,1230,26,SF,TOR,GSW,32.8,15,6,5,1,1,2,54.5,40.5,84.6,-5,26,Home,1,1
194,1240,26,SF,IND,OKC,26.3,9,4,4,1,2,1,47.7,26.1,76.8,-6,19,Home,1,0
195,1051,29,SG,NOP,GSW,19.1,9,3,5,1,1,1,41.8,47.5,78.7,5,18,Home,2,0
196,1095,35,PG,PHX,MEM,21.6,13,7,6,1,0,2,50.7,40.3,81.6,2,25,Home,0,1
197,1387,28,C,MIL,DEN,14.6,6,5,1,0,1,0,44.5,28.2,88.4,-14,13,Home,3,0
198,1221,33,SF,UTA,HOU,26.6,18,4,5,0,0,3,49.3,29.7,78.8,-6,24,Away,1,0
199,1484,24,PG,MEM,MIL,17.2,12,0,3,1,0,2,44.1,44.6,83.3,2,14,Away,2,0
200,1406,25,PF,ORL,SAS,25.7,12,5,2,2,1,2,40.1,23.2,87.0,-18,20,Home,1,0
201,1230,26,C,MIN,BKN,35.9,9,14,1,0,2,2,53.7,42.7,82.2,2,24,Away,1,1
202,1236,28,SF,DAL,MIA,34.0,15,2,1,1,1,1,44.8,35.9,74.5,1,19,Home,3,0
203,1142,24,SF,LAC,LAL,40.1,22,6,4,2,1,4,52.7,20.6,71.0,3,31,Home,1,1
204,1170,21,C,NOP,HOU,17.4,12,6,0,0,0,1,59.3,32.6,78.3,-11,17,Home,1,0
205,1028,27,C,MIA,LAL,21.5,13,8,3,1,3,1,53.0,31.8,89.5,7,27,Home,0,1
206,1035,23,PF,HOU,DAL,38.1,16,9,6,1,1,3,53.6,31.7,88.0,4,30,Home,4,1
207,1012,30,SF,SAC,NOP,18.2,7,3,2,1,0,1,51.5,48.7,64.2,6,12,Home,1,0
208,1159,29,SF,CHI,MIA,31.4,16,4,4,0,0,2,44.0,43.6,91.2,-10,22,Away,1,0
209,1326,24,PF,SAC,CLE,15.8,8,3,0,1,0,1,52.0,23.5,81.9,-7,11,Home,0,0
210,1186,28,PG,BOS,OKC,28.1,13,3,7,2,0,2,46.5,42.2,68.6,-21,23,Away,3,0
211,1242,25,SF,ATL,PHI,31.0,21,5,4,2,0,3,36.5,42.3,68.5,-9,29,Away,1,1
212,1085,26,C,MIA,DAL,37.5,18,12,0,1,2,3,51.5,26.8,73.1,1,30,Away,1,1
213,1283,26,PF,CHI,POR,16.3,8,7,2,0,0,3,51.8,30.8,71.1,4,14,Home,1,0
214,1065,25,SG,POR,LAL,21.1,12,2,5,1,0,1,43.5,36.8,94.3,-8,19,Home,3,0
215,1169,29,PF,POR,ORL,16.1,9,4,0,0,0,2,37.7,22.5,86.2,10,11,Home,1,0
216,1044,23,PG,DAL,CHA,38.7,20,3,10,2,1,2,56.3,35.5,81.4,1,34,Home,1,1
217,1061,28,SG,WAS,DET,33.0,19,8,4,1,0,3,48.9,37.3,88.1,-6,29,Home,1,1
218,1440,27,PF,DET,DAL,23.9,13,5,0,1,0,1,53.8,40.9,95.0,-1,18,Away,1,0
219,1133,22,SG,CHA,SAC,33.5,25,5,1,0,1,0,44.8,32.5,77.0,2,32,Away,4,1
220,1283,24,PG,NOP,MEM,24.6,18,1,6,1,1,2,45.8,38.5,69.8,-4,25,Home,2,1
221,1027,23,C,SAS,BKN,25.0,9,9,2,1,1,0,42.3,23.4,87.6,4,22,Away,1,1
222,1107,25,PG,NYK,CHI,25.0,9,3,6,1,0,3,56.9,32.7,86.2,-16,16,Away,1,0
223,1043,27,SG,MEM,MIN,38.8,25,7,4,2,1,3,64.2,31.5,79.9,-13,36,Home,2,1
224,1339,24,C,DAL,TOR,16.7,6,0,0,0,0,1,47.7,26.4,71.6,10,5,Home,2,0
225,1285,30,PF,PHX,UTA,27.1,12,9,1,1,0,1,48.8,34.0,81.6,6,22,Home,1,0
226,1445,30,PF,MIN,POR,17.6,12,3,1,2,0,0,56.8,36.4,68.4,-3,18,Away,0,0
227,1330,30,C,CHI,ATL,23.8,9,7,2,1,1,3,36.9,36.6,81.2,8,17,Away,0,0
228,1127,19,PG,OKC,ATL,27.0,17,5,4,0,0,4,62.8,29.1,66.3,7,22,Away,1,0
229,1347,33,PF,UTA,MIA,24.2,8,5,3,2,2,1,59.1,35.8,68.6,3,19,Away,1,1
230,1472,27,SF,POR,PHI,12.3,11,3,3,0,0,0,40.2,25.5,84.8,-5,17,Away,5,0
231,1230,27,C,UTA,LAL,23.3,8,7,3,1,1,1,42.4,11.2,59.4,10,19,Away,2,1
232,1189,26,SF,UTA,HOU,23.2,15,5,2,1,1,2,38.2,38.6,82.7,-12,22,Away,0,0
233,1224,22,PF,LAC,MEM,22.3,13,8,4,1,0,1,39.1,34.4,80.6,-3,25,Home,2,0
234,1384,28,SF,BKN,DET,30.5,14,5,4,1,1,1,50.8,43.1,68.4,-6,24,Away,3,0
235,1376,32,SF,TOR,NOP,26.2,15,2,4,0,0,2,41.9,28.9,81.8,16,19,Home,1,0
236,1282,27,PF,CLE,BOS,33.4,21,11,1,1,0,1,49.7,29.9,74.5,-2,33,Home,1,1
237,1445,23,PF,SAC,PHI,34.4,14,7,2,0,2,3,55.4,35.8,72.7,-2,22,Away,2,0
238,1120,22,PF,IND,GSW,34.6,18,6,2,0,2,1,52.9,30.8,74.5,-10,27,Away,1,1
239,1115,26,SF,OKC,CHI,34.3,16,4,3,0,0,1,53.0,34.1,67.9,-10,22,Home,1,0
240,1460,24,SF,MIN,MEM,31.1,13,7,3,1,1,1,51.4,38.2,84.7,-6,24,Away,1,0
241,1232,29,PF,MIN,ATL,23.1,7,8,2,0,2,2,54.2,40.0,73.5,-4,17,Home,1,0
242,1258,31,C,CHA,BOS,36.0,14,11,1,1,2,2,48.8,39.5,63.5,-3,27,Away,2,1
